question,sql,label,infer_sql,infer
배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor;,200,SELECT COUNT(*) AS total_actors FROM actor;,200
고객은 총 몇 명인가요?,SELECT COUNT(*) FROM customer;,599,SELECT COUNT(*) AS total_customers FROM customer;,599
도시는 몇 개 있나요?,SELECT COUNT(*) FROM city;,600,SELECT COUNT(*) AS city_count FROM city;,600
국가는 몇 개 있나요?,SELECT COUNT(*) FROM country;,109,SELECT COUNT(*) AS country_count FROM country;,109
영화는 총 몇 편인가요?,SELECT COUNT(*) FROM film;,1000,SELECT COUNT(*) AS total_films FROM film;,1000
언어는 몇 개 등록되어 있나요?,SELECT COUNT(*) FROM language;,6,SELECT COUNT(DISTINCT language_id) AS language_count FROM film;,1
성이 'Bergman'이고 이름이 'Liza'인 사람의 아이디는?,SELECT actor_id FROM actor WHERE last_name = 'Bergman' AND first_name = 'Liza';,121,SELECT actor_id FROM actor WHERE last_name = 'Bergman' AND first_name = 'Liza';,121
‘PG’ 등급 영화의 평균 대여기간은 며칠인가요?,SELECT AVG(rental_duration) FROM film WHERE rating = 'PG';,5.0,SELECT AVG(rental_duration) AS average_rental_days FROM film WHERE rating = 'PG';,5.0824742268041237
이름에 ‘oo’가 들어간 배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor WHERE first_name LIKE '%oo%';,9,SELECT COUNT(*) FROM actor WHERE first_name ILIKE '%oo%' OR last_name ILIKE '%oo%';,9
‘ACADEMY DINOSAUR’ 영화의 대여료는 얼마인가요?,SELECT rental_rate FROM film WHERE title = 'ACADEMY DINOSAUR';,0.99,SELECT rental_rate FROM film WHERE title = 'ACADEMY DINOSAUR';,
가장 많은 배우가 출연한 영화의 제목은?,SELECT f.title FROM film f JOIN film_actor fa ON f.film_id = fa.film_id GROUP BY f.title ORDER BY COUNT(fa.actor_id) DESC LIMIT 1;,Lambs Cincinatti,"SELECT f.title
FROM film f
JOIN (
  SELECT film_id, COUNT(actor_id) AS actor_count
  FROM film_actor
  GROUP BY film_id
) fa ON f.film_id = fa.film_id
WHERE fa.actor_count = (
  SELECT MAX(actor_count) FROM (
    SELECT COUNT(actor_id) AS actor_count
    FROM film_actor
    GROUP BY film_id
  ) sub
);",Lambs Cincinatti
영화의 평균 대여료는 얼마인가요?,"SELECT ROUND(AVG(rental_rate), 2) FROM film;",2.98,SELECT AVG(rental_rate) AS average_rental_rate FROM film;,2.9800000000000000
영화의 최대 대여료는 얼마인가요?,SELECT MAX(rental_rate) FROM film;,4.99,SELECT MAX(rental_rate) AS max_rental_rate FROM film;,4.99
영화의 최소 대여료는 얼마인가요?,SELECT MIN(rental_rate) FROM film;,0.99,SELECT MIN(rental_rate) AS min_rental_rate FROM film;,0.99
