question,sql,label
배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor;,200
고객은 총 몇 명인가요?,SELECT COUNT(*) FROM customer;,599
도시는 몇 개 있나요?,SELECT COUNT(*) FROM city;,600
국가는 몇 개 있나요?,SELECT COUNT(*) FROM country;,109
영화는 총 몇 편인가요?,SELECT COUNT(*) FROM film;,1000
언어는 몇 개 등록되어 있나요?,SELECT COUNT(*) FROM language;,6
성이 'Bergman'이고 이름이 'Liza'인 사람의 아이디는?,SELECT actor_id FROM actor WHERE last_name = 'Bergman' AND first_name = 'Liza';,121
‘PG’ 등급 영화의 평균 대여기간은 며칠인가요?,SELECT AVG(rental_duration) FROM film WHERE rating = 'PG';,5.0
이름에 ‘oo’가 들어간 배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor WHERE first_name LIKE '%oo%';,9
‘ACADEMY DINOSAUR’ 영화의 대여료는 얼마인가요?,SELECT rental_rate FROM film WHERE title = 'ACADEMY DINOSAUR';,NULL
가장 많은 배우가 출연한 영화의 제목은?,SELECT f.title FROM film f JOIN film_actor fa ON f.film_id = fa.film_id GROUP BY f.title ORDER BY COUNT(fa.actor_id) DESC LIMIT 1;,Lambs Cincinatti
영화의 평균 대여료는 얼마인가요?,"SELECT ROUND(AVG(rental_rate), 2) FROM film;",2.98
영화의 최대 대여료는 얼마인가요?,SELECT MAX(rental_rate) FROM film;,4.99
영화의 최소 대여료는 얼마인가요?,SELECT MIN(rental_rate) FROM film;,0.99
‘Comedy’ 카테고리 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Comedy';,58
영화가 가장 많은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) DESC LIMIT 1;,Sports
대여 횟수가 가장 많은 고객의 이름은?,SELECT first_name || ' ' || last_name FROM customer ORDER BY (SELECT COUNT(*) FROM rental r WHERE r.customer_id = customer.customer_id) DESC LIMIT 1;,ELEANOR HUNT
스태프는 몇 명인가요?,SELECT COUNT(*) FROM staff;,2
스토어는 몇 개 있나요?,SELECT COUNT(*) FROM store;,2
‘Action’ 카테고리 영화들의 평균 길이는 얼마인가요?,"SELECT ROUND(AVG(f.length), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Action';",111.61
평균보다 긴 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,489
